id_me,morph,length_cm,weight_g,logCsize_M,sex,age,sideLR,tooth,top,side,angle
PC4205,PL,13.6,29.49,0.5518292,M,,Right,1,0.07,0.11,32.4711923
PC4206,PL,13.3,25.06,0.4802286,M,,Right,1,0.08,0.14,29.7448813
PC4208,PL,14.7,37.35,0.6539983,M,,Right,1,0.09,0.14,32.7352263
PC4210,PL,17,52.56,0.729533,M,,Right,1,0.12,0.19,32.2756443
PC4211,PL,15.6,39.25,0.5924699,M,,Right,1,0.03,0.22,7.765166
PC4212,PL,13.4,25.34,0.5594861,M,,Right,1,0.09,0.14,32.7352263
PC4213,PL,14.4,33.98,0.5186075,M,,Right,1,0.06,0.13,24.7751406
PC4214,PL,12,20.83,0.4061405,M,,Right,1,0.07,0.14,26.5650512
PC4216,PL,16.1,48.79,0.7072824,M,,Right,1,0.13,0.12,47.29061
PC4217,PL,15.2,42.11,0.6077942,M,,Right,1,0.06,0.08,36.8698977
PC4218,PL,17.5,61.78,0.7672126,M,,Right,1,0.05,0.15,18.4349488
PC4219,SB,10.5,20.71,0.4251876,M,,Right,1,0.18,0.16,48.3664607
PC4220,SB,14.2,21.42,0.6014619,M,,Right,1,0.17,0.17,45
PC4221,SB,20.8,102.75,0.9806895,F,,Right,1,0.18,0.2,41.9872125
PC4222,SB,14.1,32.86,0.7337661,M,,Right,1,0.23,0.24,43.7811248
PC4223,SB,14.3,31.8,0.4826848,F,,Right,1,0.22,0.18,50.7105931
PC4225,SB,16,44.77,0.5374071,F,,Right,1,0.23,0.21,47.6025622
PC4226,SB,11.9,14.48,0.3361367,F,,Right,1,0.18,0.15,50.1944289
PC4227,SB,13.6,27.99,0.7040514,M,,Right,1,0.2,0.19,46.4688007
PC4228,SB,20.2,103.34,0.9322941,F,,Right,1,0.27,0.13,64.2900462
PC4229,SB,17,71.77,0.7528639,F,,Right,1,0.19,0.19,45
PC4230,SB,14.2,32.22,0.5756849,F,,Right,1,0.19,0.22,40.8150839
PC4232,SB,24.2,147.58,1.0602409,F,,Right,1,0.35,0.18,62.7838884
PC4237,PI,43.2,980,1.7342305,F,,Right,1,0.38,0.47,38.9559078
